M5A,1670,908
M5S,1578,188
M1E,840,1379
M1P,366,1574
M5V,357,760
M5T,221,285
M4M,188,253
M5B,168,231
M6G,167,355
M5C,164,32
M6H,154,749
M6P,103,402
M5R,102,506
M4Y,98,432
M4C,97,685
M1K,90,1383
M1M,89,592
M6A,70,867
M4W,66,128
M6J,64,514
M4T,62,84
M6C,56,341
M1L,51,947
M9V,45,3432
M6E,45,1024
M4K,40,364
M8Y,40,263
M2M,30,650
M3M,28,1025
M4X,16,594
